CapInScen,MidLLapse,WindAloft,LowLLapse,ScenRelAMCIN,CombMoisture,MeanRH,SynForcng,AMInstabMt,ScenRelAMIns,MorningCIN,SubjVertMo,QGVertMotion,OutflowFrMt,CombClouds,SatContMoist,AreaMoDryAir,AMInsWliScen,IRCloudCover,CldShadeConv,LIfr12ZDENSd,ScnRelPlFcst,CurPropConv,N0_7muVerMo,TempDis,Scenario,MvmtFeatures,InsChange,LLIW,Boundaries,LoLevMoistAd,AreaMeso_ALS,WndHodograph,LatestCIN,MountainFcst,Date,RHRatio,VISCloudCov,ScenRel3_4,N34StarFcst,CapChange,WindFieldMt,InsInMt,InsSclInScen,CompPlFcst,CldShadeOth,RaoContMoist,MorningBound,R5Fcst,Dewpoints,CombVerMo,AMDewptCalPl,SfcWndShfDis,AMCINInScen,WindFieldPln,PlainsFcst
Average,CloseToDryAd,SWQuad,Steep,CThruK,Neutral,Average,NegToPos,None,CDEJ,PartInhibit,StronUp,Down,None,PC,Neutral,Neutral,LessUnstable,Cloudy,None,N1GtLIGt_4,D,Moderate,Neutral,None,D,MarkedUpper,Decreasing,Weak,None,Negative,Neutral,Westerly,PartInhibit,XNIL,Jul16_Aug10,MoistMDryL,Clear,D,XNIL,Increasing,Westerly,None,LessUnstable,IncCapDecIns,PC,Wet,None,XNIL,Other,Neutral,Stability,None,LessThanAve,SEQuad,XNIL
MoreThanAve,ModerateOrLe,SWQuad,Steep,CThruK,Neutral,Average,SigPositive,Strong,K,TotalInhibit,Neutral,Neutral,Strong,Cloudy,Neutral,Neutral,Average,PC,Marked,LIGt0,K,Moderate,WeakUp,Other,K,StrongFront,LittleChange,Strong,Strong,Neutral,WeakUp,StrongWest,None,SIG,Aug11_Aug20,Other,PC,ACEFK,SVR,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,Cloudy,Wet,Weak,SVR,LowNHighS,WeakUp,Instability,MovingFtorOt,MoreThanAve,WidespdDnsl,SVR
LessThanAve,CloseToDryAd,SWQuad,Stable,AB,VeryWet,Average,NegToPos,Weak,ABI,PartInhibit,StronUp,StrongUp,Weak,Clear,Dry,Wet,LessUnstable,Clear,Some,N1GtLIGt_4,A,None,Neutral,None,A,MarkedUpper,Decreasing,Weak,Weak,StrongPos,WeakUp,Other,TotalInhibit,SIG,Aug20_Sep15,Other,Clear,ACEFK,XNIL,Decreasing,LVorOther,Strong,LessUnstable,DecCapIncIns,Clear,Dry,Weak,SIG,HighEvrywher,WeakUp,Stability,DenvCyclone,LessThanAve,DenvCyclone,XNIL
MoreThanAve,ModerateOrLe,AllElse,Steep,CThruK,Wet,Dry,SigNegative,Weak,CDEJ,Stifling,WeakUp,Neutral,Weak,Clear,Wet,Wet,LessUnstable,PC,None,LIGt0,D,Strong,StrongUp,Other,D,MarkedUpper,Increasing,Moderate,Weak,WeakPos,WeakUp,Other,None,SIG,Jul16_Aug10,Other,Clear,D,XNIL,Decreasing,Westerly,Weak,MoreUnstable,DecCapIncIns,Clear,Wet,Strong,SIG,LowMtsHighPl,WeakUp,Instability,DryLine,MoreThanAve,DenvCyclone,XNIL
MoreThanAve,CloseToDryAd,SWQuad,Steep,CThruK,Wet,VeryMoist,SigNegative,Strong,CDEJ,Stifling,Neutral,Down,Strong,Clear,Neutral,Neutral,LessUnstable,Clear,Marked,N5GtLIGt_8,D,Moderate,WeakUp,Other,D,OtherRapid,LittleChange,Strong,Strong,Negative,Down,DCVZFavor,None,SVR,Aug20_Sep15,MoistMDryL,Clear,D,SVR,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,Clear,Neutral,Weak,SVR,LowSHighN,Down,Stability,None,MoreThanAve,SEQuad,SVR
Average,Steep,NWQuad,Steep,CThruK,Wet,Dry,PosToNeg,None,CDEJ,PartInhibit,Neutral,Neutral,None,PC,Neutral,Wet,LessUnstable,PC,None,N1GtLIGt_4,C,Slight,Down,Other,C,MarkedUpper,Decreasing,Moderate,Strong,Neutral,Neutral,Other,PartInhibit,XNIL,May15_Jun14,MoistMDryL,PC,ACEFK,XNIL,Decreasing,Westerly,None,LessUnstable,DecCapIncIns,PC,Wet,Weak,XNIL,LowEvrywhere,Neutral,Stability,E_W_N,Average,WidespdDnsl,XNIL
MoreThanAve,CloseToDryAd,AllElse,Steep,CThruK,Wet,Average,LittleChange,Strong,CDEJ,PartInhibit,StronUp,Neutral,None,Clear,Neutral,VeryWet,MoreUnstable,Clear,None,N1GtLIGt_4,C,Slight,WeakUp,None,C,NoMajor,LittleChange,Weak,Weak,Neutral,WeakUp,Other,None,SIG,May15_Jun14,Other,PC,ACEFK,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,PC,Neutral,None,SIG,LowAtStation,WeakUp,Instability,E_W_N,MoreThanAve,LongAnticyc,XNIL
Average,Steep,SWQuad,Stable,AB,VeryWet,Average,NegToPos,Weak,ABI,PartInhibit,Neutral,WeakUp,Strong,Clear,VeryWet,VeryWet,Average,PC,Some,N1GtLIGt_4,B,Moderate,WeakUp,Other,B,OtherRapid,LittleChange,Moderate,Strong,Neutral,WeakUp,Westerly,PartInhibit,SIG,May15_Jun14,MoistMDryL,Clear,B,SIG,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Wet,Strong,SIG,LowMtsHighPl,WeakUp,Stability,E_W_S,Average,SEQuad,SIG
MoreThanAve,Steep,AllElse,ModerateOrLe,CThruK,Dry,Average,SigNegative,Strong,H,Stifling,WeakUp,Neutral,Strong,PC,Neutral,Dry,Average,Clear,Some,LIGt0,H,None,Neutral,Moving,H,NoMajor,LittleChange,Unfavorable,Strong,WeakPos,Neutral,DCVZFavor,Stifling,SVR,Aug20_Sep15,DryMMoistL,PC,HI,XNIL,LittleChange,Westerly,Strong,Average,LittleChange,PC,Wet,Weak,SVR,Other,Neutral,Stability,E_W_N,MoreThanAve,E_NE,XNIL
Average,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Neutral,Dry,LittleChange,Weak,CDEJ,PartInhibit,Neutral,Neutral,Weak,Clear,Neutral,Dry,LessUnstable,Clear,Some,N1GtLIGt_4,E,Moderate,StrongUp,None,E,NoMajor,Increasing,Moderate,Strong,WeakPos,Neutral,Other,PartInhibit,XNIL,May15_Jun14,MoistMDryL,Clear,ACEFK,SVR,LittleChange,LVorOther,Strong,Average,LittleChange,PC,Neutral,Strong,SVR,LowEvrywhere,Neutral,Neutral,None,Average,LongAnticyc,SVR
LessThanAve,CloseToDryAd,SWQuad,ModerateOrLe,AB,Wet,Average,LittleChange,Weak,ABI,PartInhibit,Down,Down,None,Clear,Neutral,Neutral,LessUnstable,PC,Marked,N1GtLIGt_4,A,Slight,Neutral,Other,A,OtherRapid,Decreasing,Weak,Weak,Negative,Neutral,Other,PartInhibit,SVR,May15_Jun14,Other,Clear,ACEFK,XNIL,LittleChange,Westerly,Strong,LessUnstable,LittleChange,Clear,Dry,None,SVR,Other,Neutral,Neutral,DenvCyclone,LessThanAve,SEQuad,XNIL
Average,CloseToDryAd,LV,ModerateOrLe,CThruK,Dry,Dry,LittleChange,Weak,CDEJ,PartInhibit,Neutral,Neutral,None,Clear,VeryWet,Neutral,MoreUnstable,Clear,Some,LILt_8,J,Strong,Neutral,Other,J,NoMajor,Decreasing,Moderate,None,Negative,Neutral,DCVZFavor,None,SIG,Jul16_Aug10,MoistMDryL,Clear,GJ,XNIL,LittleChange,LVorOther,Weak,LessUnstable,LittleChange,Clear,Dry,None,SIG,LowAtStation,Neutral,Instability,DryLine,Average,SEQuad,XNIL
Average,Steep,NWQuad,CloseToDryAd,CThruK,Wet,Dry,SigPositive,None,CDEJ,Stifling,Neutral,WeakUp,Weak,Clear,Dry,Neutral,MoreUnstable,Cloudy,None,N5GtLIGt_8,C,Strong,WeakUp,Other,C,OtherRapid,LittleChange,Strong,None,WeakPos,Neutral,Other,PartInhibit,SIG,Jun15_Jul1,Other,Clear,ACEFK,XNIL,Decreasing,Westerly,Weak,MoreUnstable,DecCapIncIns,Clear,Dry,Weak,SIG,LowAtStation,Neutral,Stability,E_W_N,MoreThanAve,LongAnticyc,XNIL
Average,CloseToDryAd,SWQuad,Steep,AB,Neutral,VeryMoist,PosToNeg,Weak,ABI,PartInhibit,Down,StrongUp,Weak,Cloudy,Neutral,Neutral,LessUnstable,Clear,Some,N1GtLIGt_4,A,Slight,Neutral,Other,A,StrongFront,LittleChange,Strong,Weak,Neutral,Neutral,Westerly,Stifling,SIG,May15_Jun14,DryMMoistL,Cloudy,ACEFK,SVR,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,Cloudy,Neutral,Weak,SVR,LowEvrywhere,Neutral,Stability,DenvCyclone,LessThanAve,DenvCyclone,SVR
MoreThanAve,CloseToDryAd,NWQuad,Steep,CThruK,Wet,Dry,NegToPos,Strong,CDEJ,Stifling,Neutral,Neutral,Strong,PC,Dry,Wet,MoreUnstable,Cloudy,Marked,N5GtLIGt_8,C,Slight,StrongUp,Other,C,NoMajor,Increasing,Weak,Weak,StrongPos,Neutral,StrongWest,PartInhibit,SVR,May15_Jun14,Other,PC,ACEFK,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,PC,Dry,Weak,SVR,LowAtStation,Neutral,Instability,E_W_S,MoreThanAve,LongAnticyc,XNIL
Average,ModerateOrLe,AllElse,ModerateOrLe,CThruK,VeryWet,Average,NegToPos,Strong,CDEJ,PartInhibit,Down,Neutral,Strong,Cloudy,Dry,VeryWet,LessUnstable,Cloudy,Some,LILt_8,C,None,StrongUp,None,C,NoMajor,LittleChange,Weak,Strong,Negative,Neutral,Westerly,Stifling,SIG,Jul2_Jul15,Other,Cloudy,ACEFK,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,PC,Wet,Weak,SIG,LowAtStation,Neutral,Stability,E_W_S,Average,LongAnticyc,XNIL
LessThanAve,ModerateOrLe,SWQuad,Stable,CThruK,Wet,VeryMoist,SigNegative,Weak,ABI,None,Neutral,StrongUp,Weak,Clear,VeryWet,Wet,MoreUnstable,Clear,Some,N5GtLIGt_8,I,Moderate,Neutral,QStationary,I,NoMajor,LittleChange,Weak,Weak,Neutral,WeakUp,StrongWest,None,XNIL,Jul16_Aug10,Other,PC,HI,SVR,LittleChange,LVorOther,Weak,MoreUnstable,LittleChange,PC,Wet,None,SVR,LowSHighN,WeakUp,Instability,None,LessThanAve,LV,SVR
Average,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Wet,Average,SigNegative,Weak,CDEJ,PartInhibit,Neutral,Neutral,None,PC,VeryWet,VeryWet,MoreUnstable,PC,None,N5GtLIGt_8,E,None,WeakUp,Other,E,NoMajor,Increasing,Weak,None,WeakPos,Neutral,Westerly,None,XNIL,Aug20_Sep15,MoistMDryL,PC,ACEFK,SIG,LittleChange,Westerly,Weak,MoreUnstable,LittleChange,PC,Neutral,None,SIG,LowEvrywhere,Neutral,Instability,DryLine,Average,LongAnticyc,SIG
Average,CloseToDryAd,SWQuad,Steep,CThruK,Neutral,Dry,SigPositive,Strong,G,PartInhibit,Neutral,Neutral,None,Clear,Neutral,Neutral,MoreUnstable,Clear,None,N1GtLIGt_4,G,Moderate,StrongUp,None,G,OtherRapid,Increasing,Weak,Weak,StrongPos,Neutral,Other,None,SIG,Jul2_Jul15,MoistMDryL,Clear,GJ,SVR,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Clear,Dry,Weak,SVR,LowAtStation,Neutral,Instability,DryLine,Average,WidespdDnsl,SVR
LessThanAve,CloseToDryAd,LV,Stable,CThruK,Neutral,VeryMoist,NegToPos,Strong,H,TotalInhibit,Down,Down,Strong,PC,Neutral,Neutral,MoreUnstable,Cloudy,Marked,N1GtLIGt_4,H,Slight,StrongUp,Moving,H,NoMajor,Decreasing,Weak,Weak,Negative,StrongUp,Westerly,None,SIG,May15_Jun14,Other,Clear,HI,SIG,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,PC,Dry,Weak,SIG,LowNHighS,StrongUp,Instability,MovingFtorOt,MoreThanAve,E_NE,SIG
LessThanAve,CloseToDryAd,SWQuad,ModerateOrLe,CThruK,Neutral,Dry,SigNegative,Strong,ABI,PartInhibit,StronUp,StrongUp,Strong,Clear,VeryWet,Neutral,Average,Clear,Marked,N5GtLIGt_8,I,None,StrongUp,QStationary,I,NoMajor,LittleChange,Weak,Strong,Negative,StrongUp,Westerly,TotalInhibit,SIG,May15_Jun14,MoistMDryL,Clear,HI,XNIL,Decreasing,LVorOther,Strong,Average,DecCapIncIns,Clear,Neutral,Weak,SIG,LowSHighN,StrongUp,Stability,E_W_S,Average,E_NE,XNIL
LessThanAve,CloseToDryAd,LV,Steep,CThruK,Neutral,Average,LittleChange,None,CDEJ,None,StronUp,Neutral,None,Cloudy,Neutral,Dry,LessUnstable,PC,None,N1GtLIGt_4,J,Strong,StrongUp,Other,J,NoMajor,LittleChange,Moderate,None,WeakPos,Neutral,Other,None,XNIL,Jun15_Jul1,MoistMDryL,Cloudy,GJ,XNIL,LittleChange,LVorOther,None,LessUnstable,LittleChange,Cloudy,Neutral,None,XNIL,LowMtsHighPl,Neutral,Stability,DryLine,LessThanAve,SEQuad,XNIL
LessThanAve,CloseToDryAd,LV,Stable,CThruK,Dry,Dry,PosToNeg,Strong,CDEJ,None,WeakUp,Neutral,Strong,Clear,Dry,Neutral,MoreUnstable,Clear,Marked,LILt_8,J,None,WeakUp,Other,J,NoMajor,LittleChange,Moderate,Strong,Neutral,WeakUp,DCVZFavor,PartInhibit,SIG,Jul16_Aug10,MoistMDryL,Clear,GJ,XNIL,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Clear,Neutral,Weak,SIG,LowMtsHighPl,WeakUp,Instability,E_W_S,LessThanAve,LV,XNIL
Average,ModerateOrLe,SWQuad,Steep,CThruK,Neutral,Average,SigNegative,None,CDEJ,PartInhibit,Neutral,Neutral,None,PC,Neutral,Neutral,LessUnstable,Cloudy,None,N1GtLIGt_4,E,None,Neutral,QStationary,E,NoMajor,Decreasing,Weak,None,Negative,Neutral,Westerly,PartInhibit,XNIL,Jul16_Aug10,MoistMDryL,PC,ACEFK,XNIL,Decreasing,Westerly,None,LessUnstable,DecCapIncIns,PC,Wet,None,XNIL,LowSHighN,Neutral,Stability,None,Average,LongAnticyc,XNIL
Average,ModerateOrLe,SWQuad,Steep,CThruK,Dry,Average,LittleChange,Strong,CDEJ,PartInhibit,WeakUp,WeakUp,None,PC,Neutral,Neutral,LessUnstable,PC,None,N1GtLIGt_4,E,Moderate,StrongUp,None,E,NoMajor,Increasing,Moderate,None,StrongPos,WeakUp,Other,None,XNIL,Jun15_Jul1,MoistMDryL,Clear,ACEFK,SIG,Increasing,Westerly,Strong,Average,IncCapDecIns,PC,Dry,None,SIG,HighEvrywher,WeakUp,Neutral,E_W_N,Average,WidespdDnsl,SIG
Average,Steep,SWQuad,Steep,CThruK,Neutral,Dry,PosToNeg,None,CDEJ,PartInhibit,WeakUp,WeakUp,None,Clear,Neutral,Neutral,Average,Clear,None,N1GtLIGt_4,D,Moderate,Neutral,Other,D,OtherRapid,LittleChange,Weak,None,Neutral,Neutral,Westerly,PartInhibit,XNIL,Aug11_Aug20,DryMMoistL,Clear,D,SIG,Increasing,Westerly,None,Average,IncCapDecIns,Clear,Neutral,None,SIG,LowSHighN,Neutral,Neutral,DryLine,Average,LongAnticyc,SIG
Average,CloseToDryAd,AllElse,Stable,CThruK,Wet,Average,LittleChange,None,H,PartInhibit,Neutral,Down,None,Clear,Wet,Wet,LessUnstable,PC,None,N1GtLIGt_4,H,Moderate,StrongUp,None,H,MarkedUpper,Increasing,Moderate,None,WeakPos,Neutral,StrongWest,PartInhibit,XNIL,Aug20_Sep15,DryMMoistL,Clear,HI,SIG,Increasing,LVorOther,None,Average,IncCapDecIns,Clear,VeryWet,None,SIG,Other,Neutral,Instability,MovingFtorOt,LessThanAve,SEQuad,SIG
LessThanAve,CloseToDryAd,SWQuad,ModerateOrLe,AB,VeryWet,Average,PosToNeg,None,ABI,PartInhibit,Neutral,StrongUp,None,Clear,VeryWet,VeryWet,MoreUnstable,Clear,None,N1GtLIGt_4,B,Strong,WeakUp,Moving,B,NoMajor,Decreasing,Moderate,None,Negative,StrongUp,Westerly,None,SIG,Jun15_Jul1,DryMMoistL,PC,B,SVR,Decreasing,Westerly,Weak,LessUnstable,DecCapIncIns,PC,Dry,Weak,SVR,LowSHighN,StrongUp,Instability,MovingFtorOt,Average,LV,SVR
MoreThanAve,Steep,SWQuad,Steep,AB,Dry,VeryMoist,PosToNeg,Strong,ABI,Stifling,Down,Neutral,Weak,Clear,Neutral,Dry,MoreUnstable,Clear,Marked,LILt_8,A,None,Down,Other,A,StrongFront,LittleChange,Weak,Weak,Neutral,Down,Other,TotalInhibit,SVR,Jul2_Jul15,Other,Clear,ACEFK,XNIL,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,Clear,Neutral,None,SVR,Other,Down,Instability,DenvCyclone,Average,SEQuad,XNIL
Average,ModerateOrLe,NWQuad,CloseToDryAd,CThruK,Wet,Dry,SigPositive,None,CDEJ,PartInhibit,Down,Down,None,Clear,Neutral,Dry,Average,PC,None,N5GtLIGt_8,C,Slight,Neutral,Other,C,NoMajor,Decreasing,Weak,Weak,Neutral,Down,Westerly,None,XNIL,May15_Jun14,MoistMDryL,Clear,ACEFK,XNIL,LittleChange,Westerly,Weak,LessUnstable,LittleChange,Clear,Wet,Weak,XNIL,LowAtStation,Down,Stability,E_W_N,Average,LongAnticyc,XNIL
Average,CloseToDryAd,AllElse,Steep,AB,Dry,Average,LittleChange,None,ABI,PartInhibit,WeakUp,StrongUp,Weak,Cloudy,Dry,Dry,Average,Clear,None,LIGt0,B,None,Down,None,B,MarkedUpper,LittleChange,Moderate,None,Negative,WeakUp,DCVZFavor,Stifling,SIG,Jul16_Aug10,Other,PC,B,SIG,LittleChange,LVorOther,Weak,Average,LittleChange,PC,Dry,None,SIG,LowSHighN,WeakUp,Instability,DenvCyclone,Average,DenvCyclone,SIG
LessThanAve,CloseToDryAd,SWQuad,Steep,AB,VeryWet,VeryMoist,LittleChange,None,ABI,PartInhibit,Neutral,Neutral,None,Cloudy,VeryWet,VeryWet,LessUnstable,PC,None,N1GtLIGt_4,A,None,Down,Other,A,StrongFront,Increasing,Moderate,Weak,WeakPos,Neutral,Westerly,None,XNIL,May15_Jun14,DryMMoistL,PC,ACEFK,SIG,LittleChange,LVorOther,None,LessUnstable,LittleChange,Cloudy,Neutral,Weak,SIG,Other,Neutral,Neutral,DenvCyclone,LessThanAve,LV,SIG
MoreThanAve,CloseToDryAd,LV,Stable,CThruK,Neutral,VeryMoist,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Neutral,None,PC,VeryWet,Neutral,LessUnstable,PC,Some,N1GtLIGt_4,J,Moderate,WeakUp,Other,J,NoMajor,LittleChange,Weak,None,Neutral,Neutral,Westerly,None,SIG,Aug11_Aug20,DryMMoistL,PC,GJ,XNIL,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,Clear,Neutral,None,SIG,LowAtStation,Neutral,Stability,E_W_N,LessThanAve,LV,XNIL
LessThanAve,CloseToDryAd,NWQuad,Steep,CThruK,Neutral,Dry,PosToNeg,None,CDEJ,None,Neutral,Neutral,Weak,Clear,Wet,Dry,Average,Clear,Some,N1GtLIGt_4,C,Slight,StrongUp,Other,C,MarkedUpper,Decreasing,Weak,Strong,Neutral,Neutral,DCVZFavor,PartInhibit,XNIL,Jul16_Aug10,MoistMDryL,Clear,ACEFK,SIG,Decreasing,Westerly,Weak,LessUnstable,DecCapIncIns,Clear,Dry,Weak,SIG,LowAtStation,Neutral,Neutral,E_W_N,LessThanAve,LongAnticyc,SIG
MoreThanAve,ModerateOrLe,LV,CloseToDryAd,CThruK,Neutral,Dry,SigNegative,None,CDEJ,TotalInhibit,Neutral,Down,Weak,Clear,Wet,Neutral,LessUnstable,Clear,Some,N1GtLIGt_4,E,Slight,WeakUp,None,E,NoMajor,LittleChange,Weak,Strong,Negative,Down,Westerly,PartInhibit,XNIL,Aug20_Sep15,MoistMDryL,PC,ACEFK,XNIL,LittleChange,LVorOther,Weak,LessUnstable,LittleChange,Clear,Dry,None,XNIL,LowSHighN,Down,Stability,DenvCyclone,MoreThanAve,LV,XNIL
Average,Steep,SWQuad,Steep,AB,Dry,Average,PosToNeg,None,ABI,PartInhibit,Neutral,Neutral,Weak,Clear,Wet,Dry,Average,PC,Some,N5GtLIGt_8,A,Moderate,Neutral,Moving,A,MarkedUpper,Decreasing,Moderate,Weak,Negative,Neutral,StrongWest,PartInhibit,XNIL,May15_Jun14,DryMMoistL,Clear,ACEFK,SIG,LittleChange,Westerly,Weak,Average,LittleChange,Clear,Neutral,None,SIG,HighEvrywher,Neutral,Stability,DenvCyclone,Average,E_NE,SIG
MoreThanAve,ModerateOrLe,NWQuad,Steep,AB,Dry,VeryMoist,LittleChange,None,ABI,None,Neutral,Neutral,None,PC,Wet,Neutral,LessUnstable,PC,Some,N1GtLIGt_4,B,Moderate,StrongUp,Moving,B,NoMajor,Decreasing,Moderate,Weak,WeakPos,Neutral,Other,None,XNIL,Aug20_Sep15,MoistMDryL,Clear,B,XNIL,Increasing,Westerly,Weak,LessUnstable,IncCapDecIns,PC,Dry,Weak,XNIL,LowMtsHighPl,Neutral,Stability,DenvCyclone,LessThanAve,DenvCyclone,XNIL
Average,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Wet,Dry,LittleChange,None,CDEJ,PartInhibit,WeakUp,Neutral,None,PC,Wet,Wet,LessUnstable,PC,None,LIGt0,E,Slight,Down,QStationary,E,OtherRapid,LittleChange,Moderate,Weak,WeakPos,Neutral,DCVZFavor,PartInhibit,XNIL,Jul2_Jul15,DryMMoistL,Clear,ACEFK,XNIL,LittleChange,LVorOther,None,LessUnstable,LittleChange,PC,Neutral,None,XNIL,Other,Neutral,Neutral,Other,Average,WidespdDnsl,XNIL
LessThanAve,Steep,AllElse,Stable,AB,Wet,VeryMoist,NegToPos,None,ABI,PartInhibit,Neutral,WeakUp,None,Cloudy,Wet,Neutral,LessUnstable,Clear,None,N5GtLIGt_8,B,None,WeakUp,Other,B,OtherRapid,LittleChange,Unfavorable,Weak,Negative,Neutral,DCVZFavor,PartInhibit,XNIL,May15_Jun14,Other,PC,B,SIG,Increasing,Westerly,None,Average,IncCapDecIns,Cloudy,Wet,None,SIG,HighEvrywher,Neutral,Neutral,E_W_S,LessThanAve,LV,SIG
LessThanAve,ModerateOrLe,AllElse,CloseToDryAd,CThruK,Dry,Average,SigNegative,None,CDEJ,Stifling,WeakUp,Neutral,Weak,PC,Neutral,Dry,Average,Clear,Some,LILt_8,E,None,WeakUp,None,E,NoMajor,Decreasing,Weak,Weak,Negative,Neutral,DCVZFavor,None,XNIL,Aug20_Sep15,MoistMDryL,PC,ACEFK,XNIL,Decreasing,LVorOther,Weak,Average,DecCapIncIns,Clear,Dry,Strong,XNIL,LowSHighN,Neutral,Stability,None,Average,LV,XNIL
Average,ModerateOrLe,NWQuad,ModerateOrLe,CThruK,Wet,VeryMoist,NegToPos,Weak,H,Stifling,StronUp,Neutral,Weak,Cloudy,Dry,Wet,MoreUnstable,PC,Some,N1GtLIGt_4,H,Slight,Down,None,H,MarkedUpper,Increasing,Moderate,Weak,Neutral,StrongUp,Westerly,PartInhibit,SIG,Jul16_Aug10,Other,Cloudy,HI,XNIL,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Cloudy,Neutral,Weak,SIG,LowMtsHighPl,StrongUp,Instability,MovingFtorOt,Average,E_NE,XNIL
Average,CloseToDryAd,SWQuad,CloseToDryAd,CThruK,Dry,Dry,PosToNeg,None,G,Stifling,Neutral,Neutral,None,PC,Wet,Neutral,Average,PC,None,N1GtLIGt_4,G,Moderate,WeakUp,None,G,NoMajor,Decreasing,Strong,Strong,Negative,WeakUp,DCVZFavor,Stifling,XNIL,Jun15_Jul1,MoistMDryL,PC,GJ,SIG,Decreasing,Westerly,None,LessUnstable,DecCapIncIns,PC,Neutral,Strong,SIG,LowEvrywhere,WeakUp,Neutral,None,MoreThanAve,WidespdDnsl,SIG
Average,Steep,AllElse,Steep,CThruK,Wet,Average,SigNegative,None,CDEJ,None,StronUp,Down,None,Clear,Neutral,VeryWet,MoreUnstable,PC,None,N1GtLIGt_4,E,Slight,Down,None,E,NoMajor,Decreasing,Weak,None,Negative,Neutral,Other,None,XNIL,Jul16_Aug10,MoistMDryL,Clear,ACEFK,XNIL,LittleChange,LVorOther,Weak,MoreUnstable,LittleChange,Clear,Wet,None,XNIL,LowEvrywhere,Neutral,Instability,DryLine,LessThanAve,WidespdDnsl,XNIL
MoreThanAve,Steep,NWQuad,Steep,CThruK,Neutral,Average,NegToPos,Strong,CDEJ,Stifling,Neutral,Neutral,Strong,PC,Dry,Neutral,Average,PC,Some,N1GtLIGt_4,D,Strong,Down,Other,D,OtherRapid,Increasing,Strong,Weak,StrongPos,Neutral,Westerly,None,SVR,Jun15_Jul1,DryMMoistL,PC,D,SIG,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,PC,Neutral,None,SVR,LowSHighN,Neutral,Neutral,None,Average,E_NE,SIG
MoreThanAve,Steep,LV,ModerateOrLe,CThruK,Neutral,Average,PosToNeg,Weak,CDEJ,PartInhibit,Neutral,Neutral,Strong,PC,Neutral,Dry,LessUnstable,PC,Marked,N1GtLIGt_4,J,Strong,Down,None,J,NoMajor,Increasing,Strong,Strong,StrongPos,Down,StrongWest,None,SVR,Aug20_Sep15,MoistMDryL,PC,GJ,SVR,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Neutral,None,SVR,LowSHighN,Down,Stability,None,Average,SEQuad,SVR
Average,CloseToDryAd,AllElse,Steep,CThruK,Neutral,Average,PosToNeg,Weak,ABI,None,Neutral,WeakUp,None,PC,Wet,Neutral,MoreUnstable,Clear,None,N5GtLIGt_8,I,Slight,StrongUp,Moving,I,MarkedUpper,Decreasing,Moderate,Strong,Negative,WeakUp,Other,PartInhibit,SIG,Aug20_Sep15,DryMMoistL,PC,HI,SIG,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Wet,Weak,SIG,LowSHighN,WeakUp,Stability,E_W_S,Average,DenvCyclone,SIG
Average,Steep,AllElse,Stable,AB,Dry,Average,PosToNeg,None,ABI,PartInhibit,WeakUp,Down,None,PC,Wet,Dry,LessUnstable,Clear,None,N1GtLIGt_4,B,None,Down,None,B,StrongFront,LittleChange,Unfavorable,Weak,Negative,Down,DCVZFavor,None,XNIL,Jul16_Aug10,DryMMoistL,PC,B,XNIL,Increasing,LVorOther,None,LessUnstable,IncCapDecIns,Clear,Dry,None,XNIL,LowMtsHighPl,Down,Instability,DenvCyclone,LessThanAve,LongAnticyc,XNIL
MoreThanAve,Steep,SWQuad,ModerateOrLe,AB,VeryWet,Dry,PosToNeg,Weak,ABI,Stifling,Down,Down,Strong,Clear,VeryWet,Wet,Average,Clear,Marked,N1GtLIGt_4,B,Slight,Neutral,Moving,B,NoMajor,Increasing,Unfavorable,Weak,WeakPos,Down,StrongWest,None,SVR,May15_Jun14,DryMMoistL,PC,B,SVR,Increasing,LVorOther,Strong,Average,IncCapDecIns,Clear,VeryWet,None,SVR,HighEvrywher,Down,Stability,DenvCyclone,Average,DenvCyclone,SVR
